headshot,player_id,player,team,games,carries,rush_yards,rush_tds,yards_per_carry,epa,wpa,success_rate,first_downs,targets,receptions,rec_yards,rec_tds,yards_per_reception,yac,catch_rate,name_team,full_pos
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m",00-0036414,C.Akers,HOU,5,42,147,1,3.5,-14.219391315244138,-0.17484011101015828,0.2619047619047619,5,8,4,16,1,4,11,0.5,C.Akers (HOU),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m",00-0036414,C.Akers,MIN,7,53,211,1,3.981132075471698,-6.318059992336202,-0.12812825712690246,0.37735849056603776,14,6,6,33,1,5.5,39,1,C.Akers (MIN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsij89kqrxap0jba9zwh",00-0036425,D.Dallas,ARI,3,8,27,0,3.375,-2.7853890913538635,0.0051596760749816895,0.375,3,NA,NA,NA,NA,NA,NA,NA,D.Dallas (ARI),Running Back
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/npa1msmoqbig9cqznkti",00-0036450,K.Vaughn,SF,1,2,4,0,2,-0.6325344105716795,-2.384185791015625e-6,0,0,NA,NA,NA,NA,NA,NA,NA,K.Vaughn (SF),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyis5zooijf0xfme9csj",00-0036555,C.Hubbard,CAR,14,227,1045,8,4.60352422907489,0.2931846205320223,0.296690529464093,0.44052863436123346,54,54,39,158,1,4.051282051282051,217,0.7222222222222222,C.Hubbard (CAR),Running Back
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ro2fqabc4qndtnxykvm7",00-0036875,R.Stevenson,NE,13,201,740,6,3.681592039800995,-35.37107984419739,-0.39918246945775293,0.35323383084577115,37,43,32,155,1,4.84375,215,0.7441860465116279,R.Stevenson (NE),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pdyv1dfyb1w0tmvnkp3v",00-0036893,N.Harris,PIT,14,235,891,5,3.7914893617021277,-22.707426659559133,-0.5104657860967997,0.3446808510638298,42,39,30,256,0,8.533333333333333,294,0.7692307692307693,N.Harris (PIT),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rz6zmdluhpsaylbvmpgr",00-0036906,K.Herbert,CHI,3,8,16,1,2,3.4630873397691175,0.07963587710769615,0.5,3,3,2,4,0,2,6,0.6666666666666666,K.Herbert (CHI),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rz6zmdluhpsaylbvmpgr",00-0036906,K.Herbert,CIN,3,4,22,0,5.5,0.1536454006563872,-0.021756023168563843,0.5,1,1,1,7,0,7,9,1,K.Herbert (CIN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/prer0j0tkzsdva1yrd0i",00-0036919,K.Gainwell,PHI,13,58,265,1,4.568965517241379,-3.1010653046420877,0.03550887609502573,0.27586206896551724,12,17,12,96,0,8,84,0.7058823529411765,K.Gainwell (PHI),Running Back
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ne5lyv8n6elqw77yrz9w",00-0036973,T.Etienne,JAX,12,115,456,2,3.965217391304348,-17.39239521775744,-0.5485635977698884,0.40869565217391307,25,44,33,184,0,5.575757575757576,216,0.75,T.Etienne (JAX),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/freievsvipthuvrwn7uw",00-0036984,T.Sermon,IND,8,48,134,2,2.7916666666666665,-11.131329807952625,-0.2770131208645713,0.3125,13,15,14,84,0,6,88,0.9333333333333333,T.Sermon (IND),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dm8qipfrz2nes9kgpcyp",00-0036997,J.Williams,DEN,14,135,461,4,3.414814814814815,-27.47557792560213,-0.3659281180296664,0.34074074074074073,26,56,40,267,0,6.675,291,0.7142857142857143,J.Williams (DEN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/brr4ec8gkikxhqqsu1nw",00-0037085,T.Badie,DEN,3,12,86,0,7.166666666666667,1.0135216837516055,0.014386802911758423,0.5,4,3,3,-2,0,-0.6666666666666666,4,1,T.Badie (DEN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z4ugeazvmccxxhqjoxzv",00-0037120,T.Goodson,IND,4,28,131,1,4.678571428571429,1.9578183682006847,0.048659982882510056,0.2857142857142857,5,13,10,56,1,5.6,64,0.7692307692307693,T.Goodson (IND),Running Back
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59",00-0037197,I.Pacheco,KC,5,70,266,1,3.8,-9.209489342552843,-0.035949580219402866,0.38571428571428573,12,15,11,80,0,7.2727272727272725,115,0.7333333333333333,I.Pacheco (KC),Running Back
